year,source,word,n,doc,tf,idf,tf_idf
2019,prs,revised,58,2019 prs,0.02647193062528526,0.5596157879354227,0.014814110315040856
2019,prs,act,53,2019 prs,0.024189867640346873,0.5596157879354227,0.013537031839606299
2019,prs,rbi,14,2019 prs,0.006389776357827476,1.9459101490553132,0.01243393066489018
2019,prs,nbfc,8,2019 prs,0.003651300775901415,2.6390573296152584,0.009635992075272508
2019,prs,estimate,36,2019 prs,0.016430853491556367,0.5596157879354227,0.009194965023128807
2019,prs,tax,40,2019 prs,0.018256503879507075,0.44183275227903923,0.008066321356075568
2019,prs,board,9,2019 prs,0.004107713372889092,1.9459101490553132,0.007993241141715117
2019,prs,budgeted,24,2019 prs,0.010953902327704245,0.6931471805599453,0.00759266651457722
2019,prs,expenditure,48,2019 prs,0.02190780465540849,0.3364722366212129,0.007371368031865915
2019,prs,penalties,8,2019 prs,0.003651300775901415,1.9459101490553132,0.007105103237080103
2019,prs,revenue,31,2019 prs,0.014148790506617983,0.44183275227903923,0.006251399050958565
2019,prs,directors,7,2019 prs,0.003194888178913738,1.9459101490553132,0.00621696533244509
2019,prs,amended,15,2019 prs,0.006846188954815153,0.8472978603872037,0.0058007612532213855
2019,prs,target,15,2019 prs,0.006846188954815153,0.8472978603872037,0.0058007612532213855
2019,prs,estimates,22,2019 prs,0.010041077133728891,0.5596157879354227,0.005619145291912049
2019,prs,estimated,27,2019 prs,0.012323140118667275,0.44183275227903923,0.005444766915351009
2019,prs,receipts,27,2019 prs,0.012323140118667275,0.44183275227903923,0.005444766915351009
2019,prs,subsidy,17,2019 prs,0.007759014148790507,0.6931471805599453,0.0053781387811588635
2019,prs,increase,35,2019 prs,0.01597444089456869,0.3364722366212129,0.0053749558565688955
2019,prs,gst,11,2019 prs,0.005020538566864446,1.0296194171811581,0.005169243993150497
2019,prs,furnish,4,2019 prs,0.0018256503879507074,2.6390573296152584,0.004817996037636254
2019,prs,welfare,10,2019 prs,0.004564125969876769,1.0296194171811581,0.004699312721045907
2019,prs,deficit,30,2019 prs,0.013692377909630305,0.3364722366212129,0.0046071050199161965
2019,prs,interim,5,2019 prs,0.0022820629849383844,1.9459101490553132,0.004440689523175064
2019,prs,gdp,22,2019 prs,0.010041077133728891,0.44183275227903923,0.004436476745841563
2019,prs,housing,14,2019 prs,0.006389776357827476,0.6931471805599453,0.004429055466836711
2019,prs,bank,11,2019 prs,0.005020538566864446,0.8472978603872037,0.004253891585695683
2019,prs,allocations,9,2019 prs,0.004107713372889092,1.0296194171811581,0.004229381448941316
2019,prs,resolution,6,2019 prs,0.0027384755819260614,1.540445040947149,0.004218471129932859
2019,prs,sources,10,2019 prs,0.004564125969876769,0.8472978603872037,0.003867174168814257
2019,prs,allocation,19,2019 prs,0.00867183934276586,0.44183275227903923,0.0038315026441358944
2019,prs,rural,12,2019 prs,0.005476951163852123,0.6931471805599453,0.00379633325728861
2019,prs,advance,3,2019 prs,0.0013692377909630307,2.6390573296152584,0.0036134970282271912
2019,prs,dispute,3,2019 prs,0.0013692377909630307,2.6390573296152584,0.0036134970282271912
2019,prs,failure,3,2019 prs,0.0013692377909630307,2.6390573296152584,0.0036134970282271912
2019,prs,director,4,2019 prs,0.0018256503879507074,1.9459101490553132,0.0035525516185400514
2019,prs,earning,4,2019 prs,0.0018256503879507074,1.9459101490553132,0.0035525516185400514
2019,prs,exchange,4,2019 prs,0.0018256503879507074,1.9459101490553132,0.0035525516185400514
2019,prs,nbfcs,5,2019 prs,0.0022820629849383844,1.540445040947149,0.003515392608277383
2019,prs,net,9,2019 prs,0.004107713372889092,0.8472978603872037,0.0034804567519328314
2019,prs,note,9,2019 prs,0.004107713372889092,0.8472978603872037,0.0034804567519328314
2019,prs,food,11,2019 prs,0.005020538566864446,0.6931471805599453,0.0034799721525145587
2019,prs,subsidies,11,2019 prs,0.005020538566864446,0.6931471805599453,0.0034799721525145587
2019,prs,borrowings,17,2019 prs,0.007759014148790507,0.44183275227903923,0.0034281865763321163
2019,prs,increased,17,2019 prs,0.007759014148790507,0.44183275227903923,0.0034281865763321163
2019,prs,fiscal,22,2019 prs,0.010041077133728891,0.3364722366212129,0.003378543681271878
2019,prs,companies,13,2019 prs,0.005933363760839799,0.5596157879354227,0.003320404036129847
2019,prs,income,13,2019 prs,0.005933363760839799,0.5596157879354227,0.003320404036129847
2019,prs,foreign,7,2019 prs,0.003194888178913738,1.0296194171811581,0.0032895189047321347
2019,prs,mantri,7,2019 prs,0.003194888178913738,1.0296194171811581,0.0032895189047321347
2020,ecosurvey,bhubaneswar,2,2020 ecosurvey,0.3333333333333333,2.6390573296152584,0.8796857765384194
2020,ecosurvey,jan,2,2020 ecosurvey,0.3333333333333333,1.0296194171811581,0.3432064723937194
2020,ecosurvey,bureau,1,2020 ecosurvey,0.16666666666666666,0.8472978603872037,0.14121631006453395
2020,ecosurvey,information,1,2020 ecosurvey,0.16666666666666666,0.24116205681688804,0.04019367613614801
2020,prs,revised,55,2020 prs,0.02672497570456754,0.5596157879354227,0.014955718336466592
2020,prs,tax,53,2020 prs,0.02575315840621963,0.44183275227903923,0.011378588858498094
2020,prs,budgeted,29,2020 prs,0.014091350826044704,0.6931471805599453,0.009767380095353943
2020,prs,expenditure,52,2020 prs,0.025267249757045675,0.3364722366212129,0.008501728039019956
2020,prs,estimate,31,2020 prs,0.015063168124392614,0.5596157879354227,0.008429586698735716
2020,prs,cut,6,2020 prs,0.0029154518950437317,2.6390573296152584,0.007694044692755855
2020,prs,deductions,9,2020 prs,0.004373177842565598,1.540445040947149,0.006736640120760127
2020,prs,revenue,31,2020 prs,0.015063168124392614,0.44183275227903923,0.0066554010304422815
2020,prs,gdp,30,2020 prs,0.014577259475218658,0.44183275227903923,0.006440710674621563
2020,prs,estimated,29,2020 prs,0.014091350826044704,0.44183275227903923,0.006226020318800845
2020,prs,subsidy,18,2020 prs,0.008746355685131196,0.6931471805599453,0.006062511783323137
2020,prs,receipts,27,2020 prs,0.013119533527696793,0.44183275227903923,0.005796639607159407
2020,prs,estimates,21,2020 prs,0.01020408163265306,0.5596157879354227,0.005710365183014516
2020,prs,stage,11,2020 prs,0.005344995140913508,1.0296194171811581,0.005503310781823489
2020,prs,target,13,2020 prs,0.006316812439261419,0.8472978603872037,0.005352221664253473
2020,prs,tobacco,4,2020 prs,0.001943634596695821,2.6390573296152584,0.005129363128503903
2020,prs,deficit,31,2020 prs,0.015063168124392614,0.3364722366212129,0.005068337869415743
2020,prs,welfare,10,2020 prs,0.004859086491739553,1.0296194171811581,0.005003009801657717
2020,prs,sources,11,2020 prs,0.005344995140913508,0.8472978603872037,0.0045288029466760155
2020,prs,option,6,2020 prs,0.0029154518950437317,1.540445040947149,0.004491093413840084
2020,prs,rates,10,2020 prs,0.004859086491739553,0.8472978603872037,0.004117093587887287
2020,prs,allocation,19,2020 prs,0.00923226433430515,0.44183275227903923,0.0040791167605936565
2020,prs,act,15,2020 prs,0.007288629737609329,0.5596157879354227,0.004078832273581798
2020,prs,income,15,2020 prs,0.007288629737609329,0.5596157879354227,0.004078832273581798
2020,prs,increase,24,2020 prs,0.011661807580174927,0.3364722366212129,0.003923874479547672
2020,prs,borrowings,18,2020 prs,0.008746355685131196,0.44183275227903923,0.003864426404772938
2020,prs,charities,3,2020 prs,0.0014577259475218659,2.6390573296152584,0.0038470223463779275
2020,prs,claim,3,2020 prs,0.0014577259475218659,2.6390573296152584,0.0038470223463779275
2020,prs,donations,3,2020 prs,0.0014577259475218659,2.6390573296152584,0.0038470223463779275
2020,prs,recruitment,3,2020 prs,0.0014577259475218659,2.6390573296152584,0.0038470223463779275
2020,prs,residence,3,2020 prs,0.0014577259475218659,2.6390573296152584,0.0038470223463779275
2020,prs,payable,4,2020 prs,0.001943634596695821,1.9459101490553132,0.0037821382877654287
2020,prs,due,9,2020 prs,0.004373177842565598,0.8472978603872037,0.0037053842290985586
2020,prs,scheme,17,2020 prs,0.00826044703595724,0.44183275227903923,0.003649736048952219
2020,prs,allocations,7,2020 prs,0.003401360544217687,1.0296194171811581,0.0035021068611604017
2020,prs,gst,7,2020 prs,0.003401360544217687,1.0296194171811581,0.0035021068611604017
2020,prs,mantri,7,2020 prs,0.003401360544217687,1.0296194171811581,0.0035021068611604017
2020,prs,ministries,7,2020 prs,0.003401360544217687,1.0296194171811581,0.0035021068611604017
2020,prs,pradhan,7,2020 prs,0.003401360544217687,1.0296194171811581,0.0035021068611604017
2020,prs,fiscal,21,2020 prs,0.01020408163265306,0.3364722366212129,0.0034333901696042128
2020,prs,food,10,2020 prs,0.004859086491739553,0.6931471805599453,0.003368062101846187
2020,prs,subsidies,10,2020 prs,0.004859086491739553,0.6931471805599453,0.003368062101846187
2020,prs,budgetary,5,2020 prs,0.0024295432458697765,1.252762968495368,0.003043641808783693
2020,prs,extra,5,2020 prs,0.0024295432458697765,1.252762968495368,0.003043641808783693
2020,prs,transactions,5,2020 prs,0.0024295432458697765,1.252762968495368,0.003043641808783693
2020,prs,change,9,2020 prs,0.004373177842565598,0.6931471805599453,0.0030312558916615684
2020,prs,addition,6,2020 prs,0.0029154518950437317,1.0296194171811581,0.00300180588099463
2020,prs,home,6,2020 prs,0.0029154518950437317,1.0296194171811581,0.00300180588099463
2020,prs,petroleum,6,2020 prs,0.0029154518950437317,1.0296194171811581,0.00300180588099463
2020,prs,actuals,7,2020 prs,0.003401360544217687,0.8472978603872037,0.002881965511521101
2021,ecosurvey,smt,10,2021 ecosurvey,0.022222222222222223,1.9459101490553132,0.04324244775678474
2021,ecosurvey,sitharaman,10,2021 ecosurvey,0.022222222222222223,1.252762968495368,0.027839177077674845
2021,ecosurvey,borrowing,9,2021 ecosurvey,0.02,1.252762968495368,0.02505525936990736
2021,ecosurvey,essential,4,2021 ecosurvey,0.008888888888888889,2.6390573296152584,0.02345828737435785
2021,ecosurvey,pegged,4,2021 ecosurvey,0.008888888888888889,2.6390573296152584,0.02345828737435785
2021,ecosurvey,situation,4,2021 ecosurvey,0.008888888888888889,2.6390573296152584,0.02345828737435785
2021,ecosurvey,weak,4,2021 ecosurvey,0.008888888888888889,2.6390573296152584,0.02345828737435785
2021,ecosurvey,budgetary,8,2021 ecosurvey,0.017777777777777778,1.252762968495368,0.022271341662139878
2021,ecosurvey,ceiling,5,2021 ecosurvey,0.011111111111111112,1.9459101490553132,0.02162122387839237
2021,ecosurvey,informed,3,2021 ecosurvey,0.006666666666666667,2.6390573296152584,0.01759371553076839
2021,ecosurvey,amendment,4,2021 ecosurvey,0.008888888888888889,1.9459101490553132,0.017296979102713897
2021,ecosurvey,reach,4,2021 ecosurvey,0.008888888888888889,1.9459101490553132,0.017296979102713897
2021,ecosurvey,relief,4,2021 ecosurvey,0.008888888888888889,1.9459101490553132,0.017296979102713897
2021,ecosurvey,estimates,12,2021 ecosurvey,0.02666666666666667,0.5596157879354227,0.014923087678277939
2021,ecosurvey,expenditure,19,2021 ecosurvey,0.042222222222222223,0.3364722366212129,0.01420660554622899
2021,ecosurvey,combined,4,2021 ecosurvey,0.008888888888888889,1.540445040947149,0.013692844808419103
2021,ecosurvey,gsdp,4,2021 ecosurvey,0.008888888888888889,1.540445040947149,0.013692844808419103
2021,ecosurvey,added,3,2021 ecosurvey,0.006666666666666667,1.9459101490553132,0.012972734327035423
2021,ecosurvey,accordance,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,allowing,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,approaching,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,attention,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,calibrate,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,drew,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,earmarked,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,evolving,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,fci,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,inflow,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,lifted,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,lockdown,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,months,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,multilateral,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,normal,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,opted,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,original,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,packages,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,peg,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,portion,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,ramping,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,resulted,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,series,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,sized,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,slowly,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,society,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,stabilised,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,switched,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,views,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,vulnerable,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,economy,6,2021 ecosurvey,0.013333333333333334,0.8472978603872037,0.011297304805162717
2021,ecosurvey,fiscal,15,2021 ecosurvey,0.03333333333333333,0.3364722366212129,0.011215741220707096
2021,prs,revised,38,2021 prs,0.01694915254237288,0.5596157879354227,0.009485013354837672
2021,prs,revenue,41,2021 prs,0.018287243532560213,0.44183275227903923,0.008079903141588138
2021,prs,estimated,38,2021 prs,0.01694915254237288,0.44183275227903923,0.007488690716593885
2021,prs,budgeted,24,2021 prs,0.010704727921498661,0.6931471805599453,0.00741995197744812
2021,prs,expenditure,49,2021 prs,0.021855486173059768,0.3364722366212129,0.007353764315093413
2021,prs,annualised,6,2021 prs,0.0026761819803746653,2.6390573296152584,0.007062597670692038
2021,prs,tax,35,2021 prs,0.015611061552185548,0.44183275227903923,0.006897478291599631
2021,prs,estimate,27,2021 prs,0.012042818911685994,0.5596157879354227,0.006739351594226767
2021,prs,grants,21,2021 prs,0.00936663693131133,0.6931471805599453,0.006492457980267106
2021,prs,gdp,31,2021 prs,0.013826940231935772,0.44183275227903923,0.006109195058273959
2021,prs,actuals,16,2021 prs,0.007136485280999108,0.8472978603872037,0.006046728709275317
2021,prs,deficit,39,2021 prs,0.017395182872435324,0.3364722366212129,0.005852996087523328
2021,prs,allocation,29,2021 prs,0.012934879571810883,0.44183275227903923,0.005715053441611123
2021,prs,subsidy,18,2021 prs,0.008028545941123996,0.6931471805599453,0.005564963983086091
2021,prs,receipts,28,2021 prs,0.012488849241748439,0.44183275227903923,0.005517982633279705
2021,prs,covid,8,2021 prs,0.003568242640499554,1.540445040947149,0.005496681680453699
2021,prs,increase,35,2021 prs,0.015611061552185548,0.3364722366212129,0.005252688796495294
2021,prs,fiscal,33,2021 prs,0.014719000892060661,0.3364722366212129,0.004952535150981279
2021,prs,commission,16,2021 prs,0.007136485280999108,0.6931471805599453,0.004946634651632081
2021,prs,estate,4,2021 prs,0.001784121320249777,2.6390573296152584,0.0047083984471280255
2021,prs,due,12,2021 prs,0.0053523639607493305,0.8472978603872037,0.004535046531956487
2021,prs,sources,12,2021 prs,0.0053523639607493305,0.8472978603872037,0.004535046531956487
2021,prs,criteria,5,2021 prs,0.0022301516503122213,1.9459101490553132,0.004339674730275007
2021,prs,act,17,2021 prs,0.007582515611061552,0.5596157879354227,0.004243295448216853
2021,prs,disinvestment,11,2021 prs,0.004906333630686887,0.8472978603872037,0.00415712598762678
2021,prs,welfare,9,2021 prs,0.004014272970561998,1.0296194171811581,0.004133173396356121
2021,prs,recommendations,6,2021 prs,0.0026761819803746653,1.540445040947149,0.004122511260340273
2021,prs,debt,13,2021 prs,0.005798394290811775,0.6931471805599453,0.004019140654451065
2021,prs,food,13,2021 prs,0.005798394290811775,0.6931471805599453,0.004019140654451065
2021,prs,demographic,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,internal,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,performance,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,record,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,suggested,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,vaccination,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
